,adjClose,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
557,121.32,-1.74,-0.0124,-1.24,138.25,2021-06-23,140.06,"June 23, 21",138.21,139.99,3349920,3349920,138.84
558,122.01,-0.35,-0.0025109,-0.25109,139.04,2021-06-24,139.76,"June 24, 21",138.33,139.39,3775746,3775746,139.04
559,123.19,1.39,0.01,1.0,140.38,2021-06-25,140.47,"June 25, 21",138.58,138.99,3759533,3759533,139.81
560,121.89,-1.64,-0.0117,-1.17,138.9,2021-06-28,140.82,"June 28, 21",138.54,140.54,4067789,4067789,139.42
561,122.11,0.28,0.0020163,0.20163,139.15,2021-06-29,140.29,"June 29, 21",138.72,138.87,2540211,2540211,139.38
562,122.98,1.39,0.01,1.0,140.14,2021-06-30,140.47,"June 30, 21",138.35,138.75,3394375,3394375,139.65
563,123.19,-0.12,-0.0008540925,-0.08540925,140.38,2021-07-01,141.01,"July 01, 21",140.12,140.5,2809661,2809661,140.51
564,117.47,-6.59,-0.0469,-4.69,133.86,2021-07-02,140.49,"July 02, 21",133.33,140.45,17584515,17584515,135.89
565,116.43,-1.15,-0.008593,-0.8593,132.68,2021-07-06,134.24,"July 06, 21",131.07,133.83,8466010,8466010,132.66
566,117.3,1.01,0.0076134,0.76134,133.67,2021-07-07,134.16,"July 07, 21",132.66,132.66,4246446,4246446,133.5
567,118.07,2.83,0.0215,2.15,134.55,2021-07-08,135.1,"July 08, 21",131.61,131.72,5739820,5739820,133.75
568,118.73,0.07,0.0005176366,0.05176366,135.3,2021-07-09,135.74,"July 09, 21",134.65,135.23,4083689,4083689,135.23
569,118.22,-0.49,-0.003624,-0.3624,134.72,2021-07-12,135.72,"July 12, 21",133.96,135.21,3496360,3496360,134.8
570,117.69,-0.61,-0.0045279,-0.45279,134.11,2021-07-13,134.72,"July 13, 21",133.49,134.72,3309858,3309858,134.11
571,117.3,-0.86,-0.0063926,-0.63926,133.67,2021-07-14,134.56,"July 14, 21",132.82,134.53,4606061,4606061,133.68
